timestamp_sec,rel_time_s,throughput_mbps
1776102570,4,0.0294
1776102572,6,0.002
1776102577,11,0.0206
1776102579,13,0.0031
1776102585,19,0.002
1776102594,28,0.0161
1776102596,30,0.0031
1776102612,46,0.0021
1776102614,48,0.001
1776102616,50,0.001
1776102627,61,0.0309
1776102629,63,0.0161
1776102635,69,0.0031
1776102643,77,0.001
1776102654,88,0.0366
1776102661,95,0.0211
1776102662,96,0.0031
1776102670,104,0.0301
1776102671,105,0.0031
1776102676,110,0.0018
1776102680,114,0.001
1776102692,126,0.0108
1776102694,128,0.0217
1776102695,129,0.0031
1776102702,136,0.0206
1776102710,144,0.001
1776102722,156,0.001
1776102726,160,0.001
1776102737,171,0.0108
1776102741,175,0.0031
1776102742,176,0.0207
1776102744,178,0.0338
1776102745,179,0.002
1776102749,183,0.001
1776102765,199,0.0161
1776102767,201,0.0128
1776102773,207,0.0108
