timestamp,rel_time_s,direction,skew_ms
1776354511.4710155,0.03539872169494629,PLC -> IO,4.8e-05
1776354511.5350096,0.09939289093017578,PLC -> IO,0.022192
1776354511.5990179,0.16340112686157227,PLC -> IO,0.18620799999999998
1776354511.6629996,0.22738289833068848,PLC -> IO,0.028912
1776354511.7270064,0.29138970375061035,PLC -> IO,0.001328
1776354511.7910137,0.35539698600769043,PLC -> IO,0.000928
1776354511.8550081,0.419391393661499,PLC -> IO,0.034592
1776354511.9190083,0.48339152336120605,PLC -> IO,0.006912
1776354511.9830105,0.547393798828125,PLC -> IO,0.7734719999999999
1776354512.0470114,0.6113946437835693,PLC -> IO,0.148032
1776354512.1110132,0.6753964424133301,PLC -> IO,0.017391999999999998
1776354512.1750104,0.7393937110900879,PLC -> IO,0.012592
1776354512.2390058,0.8033890724182129,PLC -> IO,0.017328
1776354512.3030388,0.8674221038818359,PLC -> IO,0.142592
1776354512.367027,0.9314103126525879,PLC -> IO,0.107248
1776354512.4310067,0.9953899383544922,PLC -> IO,0.075552
1776354512.4950078,1.0593910217285156,PLC -> IO,0.009808
1776354512.5590208,1.1234040260314941,PLC -> IO,0.234208
1776354512.6230147,1.1873979568481445,PLC -> IO,0.016592
1776354512.6870205,1.25140380859375,PLC -> IO,0.001312
1776354512.7510004,1.3153836727142334,PLC -> IO,0.014368
1776354512.81502,1.3794033527374268,PLC -> IO,0.174992
1776354512.879013,1.4433963298797607,PLC -> IO,0.374112
1776354512.9430206,1.50740385055542,PLC -> IO,0.212048
1776354513.007002,1.571385383605957,PLC -> IO,0.001072
1776354513.0710185,1.635401725769043,PLC -> IO,0.23507199999999998
1776354513.1350164,1.699399709701538,PLC -> IO,0.791392
1776354513.199012,1.7633953094482422,PLC -> IO,0.010591999999999999
1776354513.2630064,1.8273897171020508,PLC -> IO,0.12587199999999998
1776354513.327011,1.8913943767547607,PLC -> IO,0.008848
1776354513.3910089,1.9553921222686768,PLC -> IO,0.236672
1776354513.4550138,2.019397020339966,PLC -> IO,0.003392
1776354513.5190086,2.0833919048309326,PLC -> IO,4.8e-05
1776354513.5830026,2.147385835647583,PLC -> IO,0.015328
1776354513.6470168,2.211400032043457,PLC -> IO,0.11987199999999999
1776354513.7110164,2.275399684906006,PLC -> IO,0.009232
1776354513.7750123,2.339395523071289,PLC -> IO,0.001072
1776354513.8390067,2.4033899307250977,PLC -> IO,0.017488
1776354513.9030113,2.4673945903778076,PLC -> IO,0.041968000000000005
