timestamp,rel_time_s,direction,skew_ms
1776428408.8739316,0.029946088790893555,PLC -> IO,6.543936
1776428408.9394584,0.09547281265258789,PLC -> IO,0.599296
1776428409.002035,0.1580493450164795,PLC -> IO,20.701135999999998
1776428409.0718377,0.22785210609436035,PLC -> IO,2.735664
1776428409.140812,0.2968263626098633,PLC -> IO,2.163216
1776428409.1928885,0.34890294075012207,PLC -> IO,2.694416
1776428409.2572062,0.4132206439971924,PLC -> IO,14.545136
1776428409.3222294,0.4782438278198242,PLC -> IO,3.623936
1776428409.3864691,0.5424835681915283,PLC -> IO,0.399344
1776428409.4505835,0.606597900390625,PLC -> IO,0.473984
1776428409.5127206,0.6687350273132324,PLC -> IO,9.340064
1776428409.5793295,0.7353439331054688,PLC -> IO,0.348784
1776428409.6417823,0.7977967262268066,PLC -> IO,8.711296
1776428409.7055728,0.8615872859954834,PLC -> IO,5.881984
1776428409.7707798,0.9267942905426025,PLC -> IO,2.359184
1776428409.838175,0.9941895008087158,PLC -> IO,0.257936
1776428409.8983681,1.054382562637329,PLC -> IO,23.167536
1776428409.9634426,1.1194570064544678,PLC -> IO,19.249056
1776428410.039601,1.195615530014038,PLC -> IO,3.164096
1776428410.0922053,1.2482197284698486,PLC -> IO,10.699056
1776428410.15432,1.3103344440460205,PLC -> IO,21.216656
1776428410.216921,1.3729355335235596,PLC -> IO,7.226896
1776428410.291786,1.4478003978729248,PLC -> IO,1.811104
1776428410.3456748,1.5016891956329346,PLC -> IO,4.237296
1776428410.4105349,1.566549301147461,PLC -> IO,11.326304
1776428410.4759567,1.6319711208343506,PLC -> IO,0.700896
1776428410.5392551,1.6952695846557617,PLC -> IO,21.399904
1776428410.604235,1.760249376296997,PLC -> IO,1.2210560000000001
1776428410.6689944,1.8250088691711426,PLC -> IO,16.910224000000003
1776428410.7329848,1.8889992237091064,PLC -> IO,0.21657600000000002
1776428410.7933483,1.9493627548217773,PLC -> IO,10.870224
1776428410.8607802,2.0167946815490723,PLC -> IO,18.689936
1776428410.9219043,2.077918767929077,PLC -> IO,23.702735999999998
