timestamp_sec,rel_time_s,throughput_mbps
1776102891,17,0.0161
1776102895,21,0.0031
1776102941,67,0.0211
1776102947,73,0.0005
1776102962,88,0.001
1776102982,108,0.0401
1776103003,129,0.0005
1776103037,163,0.0018
