timestamp,rel_time_s,direction,e2e_latency_ms
1776089301.0064244,0.0,IO -> PLC,0.63436
1776089301.0317068,0.02528238296508789,PLC -> IO,1.029392
1776089301.070423,0.06399846076965332,IO -> PLC,0.64424
1776089301.0957093,0.08928489685058594,PLC -> IO,0.586152
1776089301.1344216,0.12799715995788574,IO -> PLC,0.72851
1776089301.159712,0.15328764915466309,PLC -> IO,0.711642
1776089301.1984203,0.19199585914611816,IO -> PLC,0.81295
1776089301.2237146,0.21729016304016113,PLC -> IO,0.755212
1776089301.2624187,0.2559943199157715,IO -> PLC,0.63938
1776089301.287717,0.2812926769256592,PLC -> IO,0.837512
1776089301.3264165,0.3199920654296875,IO -> PLC,0.98198
1776089301.3517199,0.34529542922973633,PLC -> IO,0.881632
1776089301.390415,0.3839905261993408,IO -> PLC,0.78177
1776089301.4157224,0.4092979431152344,PLC -> IO,0.652562
1776089301.4544137,0.44798922538757324,IO -> PLC,0.65636
1776089301.4797251,0.4733006954193115,PLC -> IO,0.789092
1776089301.5184124,0.5119879245758057,IO -> PLC,0.70807
1776089301.5437276,0.5373032093048096,PLC -> IO,0.592262
1776089301.5824108,0.575986385345459,IO -> PLC,1.03524
1776089301.6077302,0.6013057231903076,PLC -> IO,0.835112
1776089301.6464095,0.6399850845336914,IO -> PLC,0.90567
1776089301.671733,0.6653084754943848,PLC -> IO,0.734212
1776089301.7104082,0.7039837837219238,IO -> PLC,0.62865
1776089301.7357354,0.7293109893798828,PLC -> IO,0.931462
1776089301.7744057,0.7679812908172607,IO -> PLC,1.00694
1776089301.7997382,0.79331374168396,PLC -> IO,0.660782
1776089301.8384044,0.8319799900054932,IO -> PLC,0.80689
1776089301.8637407,0.857316255569458,PLC -> IO,0.717882
1776089301.9024029,0.8959784507751465,IO -> PLC,0.88916
1776089301.9277434,0.9213190078735352,PLC -> IO,0.772252
1776089301.9664016,0.9599771499633789,IO -> PLC,1.24825
1776089301.991746,0.9853215217590332,PLC -> IO,1.038152
1776089302.0304003,1.0239758491516113,IO -> PLC,1.05517
1776089302.0557485,1.0493240356445312,PLC -> IO,0.678352
1776089302.0943987,1.0879743099212646,IO -> PLC,0.63886
1776089302.1197512,1.1133267879486084,PLC -> IO,0.748402
1776089302.1583974,1.151973009109497,IO -> PLC,0.6589
1776089302.1837537,1.1773293018341064,PLC -> IO,0.839892
1776089302.222395,1.215970516204834,IO -> PLC,1.02791
1776089302.2477565,1.2413320541381836,PLC -> IO,0.612002
1776089302.2863936,1.2799692153930664,IO -> PLC,0.86762
1776089302.311759,1.3053345680236816,PLC -> IO,0.700222
1776089302.3503923,1.3439679145812988,IO -> PLC,0.92045
1776089302.3757617,1.3693373203277588,PLC -> IO,0.781782
1776089302.4143908,1.4079663753509521,IO -> PLC,0.71208
1776089302.4397643,1.4333398342132568,PLC -> IO,0.589742
1776089302.4783895,1.4719650745391846,IO -> PLC,0.79443
1776089302.5037668,1.4973423480987549,PLC -> IO,0.660762
1776089302.5423882,1.535963773727417,IO -> PLC,0.63214
1776089302.5677695,1.561345100402832,PLC -> IO,0.785372
1776089302.6063867,1.5999622344970703,IO -> PLC,1.02083
1776089302.631772,1.62534761428833,PLC -> IO,0.788282
1776089302.6703844,1.6639599800109863,IO -> PLC,0.76726
1776089302.6957748,1.6893503665924072,PLC -> IO,0.638492
1776089302.7343829,1.7279584407806396,IO -> PLC,0.64288
1776089302.7597773,1.7533528804779053,PLC -> IO,0.697902
1776089302.7983816,1.791957139968872,IO -> PLC,0.93837
1776089302.82378,1.8173556327819824,PLC -> IO,0.777712
1776089302.8623803,1.8559558391571045,IO -> PLC,1.01657
1776089302.8877826,1.8813581466674805,PLC -> IO,0.620232
1776089302.9263787,1.9199542999267578,IO -> PLC,0.81955
