timestamp_sec,rel_time_s,throughput_mbps
1776268627,26,0.0017
1776268628,27,0.0017
1776268629,28,0.0017
1776268630,29,0.0017
1776268644,43,0.0036
1776268645,44,0.0036
1776268646,45,0.0036
1776268647,46,0.0036
1776268747,146,0.0017
1776268748,147,0.0017
1776268749,148,0.0017
1776268750,149,0.0017
1776268764,163,0.0036
1776268765,164,0.0036
1776268766,165,0.0036
1776268767,166,0.0036
1776268867,266,0.0017
1776268868,267,0.0017
1776268869,268,0.0017
1776268870,269,0.0017
1776268884,283,0.0036
1776268885,284,0.0036
1776268886,285,0.0036
1776268887,286,0.0036
1776268913,312,0.002
1776268930,329,0.0041
1776268987,386,0.0017
1776268988,387,0.0017
1776268989,388,0.0017
1776268990,389,0.0017
1776269004,403,0.0036
1776269005,404,0.0036
1776269006,405,0.0036
1776269007,406,0.0036
