timestamp_sec,rel_time_s,throughput_mbps
1776097634,52,0.0036
1776097635,53,0.0036
1776097636,54,0.0036
1776097637,55,0.0036
1776097754,172,0.0036
1776097755,173,0.0036
1776097756,174,0.0036
1776097757,175,0.0036
1776097874,292,0.0036
1776097875,293,0.0036
1776097876,294,0.0036
1776097877,295,0.0036
1776097994,412,0.0036
1776097995,413,0.0036
1776097996,414,0.0036
1776097997,415,0.0036
