timestamp_sec,rel_time_s,throughput_mbps
1776266827,67,0.0017
1776266828,68,0.0017
1776266829,69,0.0017
1776266830,70,0.0017
1776266844,84,0.0036
1776266845,85,0.0036
1776266846,86,0.0036
1776266847,87,0.0036
1776266947,187,0.0017
1776266948,188,0.0017
1776266949,189,0.0017
1776266950,190,0.0017
1776266964,204,0.0036
1776266965,205,0.0036
1776266966,206,0.0036
1776266967,207,0.0036
1776267067,307,0.0017
1776267068,308,0.0017
1776267069,309,0.0017
1776267070,310,0.0017
1776267084,324,0.0036
1776267085,325,0.0036
1776267086,326,0.0036
1776267087,327,0.0036
