timestamp,rel_time_s,direction,e2e_latency_ms
1776098243.0117636,0.004000186920166016,PLC -> IO,0.760482
1776098243.0469556,0.03919219970703125,IO -> PLC,0.77668
1776098243.075766,0.06800270080566406,PLC -> IO,0.556592
1776098243.1109543,0.10319089889526367,IO -> PLC,0.79777
1776098243.1397688,0.1320054531097412,PLC -> IO,0.644562
1776098243.1749527,0.167189359664917,IO -> PLC,0.60373
1776098243.2037714,0.19600796699523926,PLC -> IO,0.534202
1776098243.2389514,0.23118805885314941,IO -> PLC,0.95331
1776098243.2677739,0.2600104808807373,PLC -> IO,0.780742
1776098243.3029501,0.29518675804138184,IO -> PLC,0.75607
1776098243.3317766,0.32401323318481445,PLC -> IO,0.626772
1776098243.3669486,0.35918521881103516,IO -> PLC,1.4899
1776098243.3957791,0.3880157470703125,PLC -> IO,0.582252
1776098243.4309473,0.4231839179992676,IO -> PLC,0.61799
1776098243.459782,0.45201849937438965,PLC -> IO,0.929432
1776098243.4949448,0.4871814250946045,IO -> PLC,0.76884
1776098243.5237844,0.5160210132598877,PLC -> IO,0.662582
1776098243.5589435,0.5511801242828369,IO -> PLC,0.91297
1776098243.587787,0.5800235271453857,PLC -> IO,0.588942
1776098243.622942,0.6151785850524902,IO -> PLC,0.62268
1776098243.6517897,0.6440262794494629,PLC -> IO,0.691152
1776098243.6869407,0.6791772842407227,IO -> PLC,0.91698
1776098243.7157922,0.7080287933349609,PLC -> IO,0.515752
1776098243.7509391,0.743175745010376,IO -> PLC,0.81406
1776098243.779795,0.7720315456390381,PLC -> IO,0.581552
1776098243.8149378,0.8071744441986084,IO -> PLC,0.63842
1776098243.8437974,0.8360340595245361,PLC -> IO,0.681192
1776098243.8789365,0.8711731433868408,IO -> PLC,0.70046
1776098243.9078,0.9000365734100342,PLC -> IO,0.558912
1776098243.942934,0.9351706504821777,IO -> PLC,0.84515
1776098243.9718027,0.9640393257141113,PLC -> IO,0.701602
1776098244.0069327,0.9991693496704102,IO -> PLC,0.61143
1776098244.0358052,1.0280418395996094,PLC -> IO,0.626832
1776098244.0709312,1.0631678104400635,IO -> PLC,0.64356
1776098244.099808,1.0920445919036865,PLC -> IO,0.546462
1776098244.13493,1.127166509628296,IO -> PLC,0.78128
1776098244.1638105,1.1560471057891846,PLC -> IO,0.752352
1776098244.1989284,1.1911649703979492,IO -> PLC,0.80341
1776098244.227813,1.2200496196746826,PLC -> IO,0.604872
1776098244.262927,1.2551636695861816,IO -> PLC,0.60529
1776098244.2918158,1.2840523719787598,PLC -> IO,0.493402
1776098244.3269258,1.319162368774414,IO -> PLC,0.8351
1776098244.3558183,1.3480548858642578,PLC -> IO,0.722492
1776098244.3909233,1.383159875869751,IO -> PLC,1.59054
1776098244.419821,1.412057638168335,PLC -> IO,0.562442
1776098244.4549217,1.4471583366394043,IO -> PLC,0.85351
1776098244.4838235,1.476060152053833,PLC -> IO,2.035172
1776098244.5189204,1.5111570358276367,IO -> PLC,0.95428
1776098244.547826,1.540062665939331,PLC -> IO,0.977412
1776098244.582919,1.57515549659729,IO -> PLC,1.12289
1776098244.6118288,1.6040654182434082,PLC -> IO,0.648662
1776098244.6469176,1.6391541957855225,IO -> PLC,0.78212
1776098244.6758313,1.6680679321289062,PLC -> IO,1.015432
1776098244.7109163,1.7031528949737549,IO -> PLC,0.90369
1776098244.7398338,1.7320704460144043,PLC -> IO,0.625132
1776098244.7749147,1.7671513557434082,IO -> PLC,0.71884
1776098244.8038366,1.7960731983184814,PLC -> IO,0.527162
1776098244.8389125,1.8311491012573242,IO -> PLC,0.60457
1776098244.867839,1.8600757122039795,PLC -> IO,0.793052
1776098244.902911,1.8951475620269775,IO -> PLC,1.60562
1776098244.9318419,1.9240784645080566,PLC -> IO,0.618932
1776098244.9669096,1.95914626121521,IO -> PLC,0.67938
1776098244.9958444,1.9880809783935547,PLC -> IO,0.566882
1776098245.030908,2.0231447219848633,IO -> PLC,0.63678
1776098245.0598469,2.0520834922790527,PLC -> IO,1.057902
1776098245.0949068,2.0871434211730957,IO -> PLC,0.71019
1776098245.1238496,2.11608624458313,PLC -> IO,0.592482
1776098245.1589055,2.151142120361328,IO -> PLC,0.65032
1776098245.1878521,2.180088758468628,PLC -> IO,0.920382
1776098245.222904,2.2151405811309814,IO -> PLC,0.63331
