timestamp,rel_time_s,direction,skew_ms
1775832483.2824254,0.012541055679321289,PLC -> IO,0.41340000000000005
1775832483.3134267,0.04354238510131836,PLC -> IO,2.51972
1775832483.345488,0.07560372352600098,PLC -> IO,0.2242
1775832483.3796155,0.10973119735717773,PLC -> IO,2.97956
1775832483.411152,0.1412675380706787,PLC -> IO,0.44020000000000004
1775832483.4412413,0.1713569164276123,PLC -> IO,0.40652
1775832483.4738035,0.2039191722869873,PLC -> IO,2.94716
1775832483.5092795,0.2393951416015625,PLC -> IO,0.6036400000000001
1775832483.5379868,0.26810240745544434,PLC -> IO,2.89244
1775832483.5699728,0.30008840560913086,PLC -> IO,2.94012
1775832483.60103,0.3311457633972168,PLC -> IO,0.97052
1775832483.634565,0.36468076705932617,PLC -> IO,0.52844
1775832483.6661897,0.3963053226470947,PLC -> IO,4.44732
1775832483.6963193,0.4264349937438965,PLC -> IO,2.09508
1775832483.7307565,0.46087217330932617,PLC -> IO,0.22996
1775832483.761379,0.49149465560913086,PLC -> IO,0.43908
1775832483.7943828,0.524498462677002,PLC -> IO,11.56188
1775832483.8265088,0.5566244125366211,PLC -> IO,1.43732
1775832483.857005,0.587120532989502,PLC -> IO,0.5658
1775832483.890761,0.6208765506744385,PLC -> IO,2.2816400000000003
1775832483.9226978,0.6528134346008301,PLC -> IO,0.41372000000000003
1775832483.9532077,0.6833233833312988,PLC -> IO,1.10148
1775832483.985325,0.7154407501220703,PLC -> IO,0.4358
1775832484.0173888,0.747504472732544,PLC -> IO,1.5656400000000001
1775832484.04939,0.779505729675293,PLC -> IO,0.57052
1775832484.081952,0.8120677471160889,PLC -> IO,4.574520000000001
1775832484.1150806,0.8451962471008301,PLC -> IO,10.47452
1775832484.146159,0.876274585723877,PLC -> IO,4.43204
1775832484.1757205,0.9058361053466797,PLC -> IO,10.51636
1775832484.209751,0.9398665428161621,PLC -> IO,8.056600000000001
1775832484.2417698,0.9718854427337646,PLC -> IO,0.56436
1775832484.2738068,1.003922462463379,PLC -> IO,3.56996
1775832484.3064644,1.0365800857543945,PLC -> IO,0.41012
1775832484.337961,1.0680766105651855,PLC -> IO,2.06684
1775832484.3685882,1.0987038612365723,PLC -> IO,0.93556
1775832484.4011505,1.1312661170959473,PLC -> IO,0.94076
1775832484.4346557,1.164771318435669,PLC -> IO,4.03796
1775832484.465715,1.1958305835723877,PLC -> IO,4.57212
1775832484.4967766,1.2268922328948975,PLC -> IO,0.5654
1775832484.5289168,1.2590324878692627,PLC -> IO,0.42452
1775832484.5624442,1.2925598621368408,PLC -> IO,1.96588
1775832484.5940344,1.3241500854492188,PLC -> IO,2.9166000000000003
1775832484.6267636,1.3568792343139648,PLC -> IO,3.75156
1775832484.6575623,1.3876779079437256,PLC -> IO,0.76092
1775832484.6931343,1.4232499599456787,PLC -> IO,1.22652
1775832484.7212877,1.4514033794403076,PLC -> IO,0.4386
1775832484.7542698,1.4843854904174805,PLC -> IO,15.59164
1775832484.7849264,1.5150420665740967,PLC -> IO,4.43108
1775832484.8174453,1.5475609302520752,PLC -> IO,1.97292
1775832484.8504796,1.5805952548980713,PLC -> IO,0.22891999999999998
1775832484.8810718,1.61118745803833,PLC -> IO,1.97268
1775832484.9131043,1.6432199478149414,PLC -> IO,16.237560000000002
1775832484.9481819,1.678297519683838,PLC -> IO,3.03636
1775832484.9777985,1.707914113998413,PLC -> IO,0.4446
1775832485.0088618,1.7389774322509766,PLC -> IO,0.43348
1775832485.0418627,1.7719783782958984,PLC -> IO,3.07868
1775832485.074391,1.804506540298462,PLC -> IO,5.61116
1775832485.106555,1.8366706371307373,PLC -> IO,1.41204
1775832485.1362178,1.8663334846496582,PLC -> IO,1.3988399999999999
