timestamp,rel_time_s,direction,e2e_latency_ms
1776090374.053717,0.04585075378417969,IO -> PLC,6.04656
1776090374.1177156,0.10984945297241211,IO -> PLC,5.37937
1776090374.181713,0.17384696006774902,IO -> PLC,2.37567
1776090374.2457118,0.23784565925598145,IO -> PLC,5.05382
1776090374.3097105,0.30184435844421387,IO -> PLC,4.49712
1776090374.373709,0.3658428192138672,IO -> PLC,4.18434
1776090374.4377077,0.4298415184020996,IO -> PLC,4.1735
1776090374.5017064,0.49384021759033203,IO -> PLC,4.12801
1776090374.5657048,0.5578386783599854,IO -> PLC,3.5593
1776090374.6297026,0.6218364238739014,IO -> PLC,3.29245
1776090374.693701,0.6858348846435547,IO -> PLC,3.21304
1776090374.7576997,0.7498335838317871,IO -> PLC,2.87563
1776090374.8216984,0.8138322830200195,IO -> PLC,1.97602
1776090374.885697,0.8778307437896729,IO -> PLC,2.17119
1776090374.9496956,0.9418294429779053,IO -> PLC,2.26075
1776090375.0136943,1.0058281421661377,IO -> PLC,1.87109
1776090375.0776918,1.0698256492614746,IO -> PLC,2.16338
1776090375.1416905,1.133824348449707,IO -> PLC,1.99701
1776090375.205689,1.1978228092193604,IO -> PLC,1.15165
1776090375.2696877,1.2618215084075928,IO -> PLC,6.25704
1776090375.3336864,1.3258202075958252,IO -> PLC,3.09517
1776090375.397685,1.3898189067840576,IO -> PLC,2.45894
1776090375.4616835,1.453817367553711,IO -> PLC,2.10088
1776090375.5256813,1.517815113067627,IO -> PLC,2.18644
1776090375.5896797,1.5818135738372803,IO -> PLC,2.10719
1776090375.6536784,1.6458122730255127,IO -> PLC,1.51873
1776090375.717677,1.7098109722137451,IO -> PLC,1.69957
1776090375.7816756,1.7738094329833984,IO -> PLC,1.28935
1776090375.8456743,1.8378081321716309,IO -> PLC,6.16929
1776090375.909673,1.9018068313598633,IO -> PLC,5.23913
1776090375.9736705,1.9658043384552002,IO -> PLC,4.95083
1776090376.0376692,2.0298030376434326,IO -> PLC,4.49157
1776090376.1016676,2.093801498413086,IO -> PLC,4.12647
1776090376.1656663,2.1578001976013184,IO -> PLC,3.42543
1776090376.229665,2.221798896789551,IO -> PLC,3.40851
1776090376.2936637,2.285797595977783,IO -> PLC,2.68403
1776090376.3576622,2.3497960567474365,IO -> PLC,2.4307
1776090376.42166,2.4137938022613525,IO -> PLC,1.85246
1776090376.4856584,2.477792263031006,IO -> PLC,1.80987
1776090376.549657,2.5417909622192383,IO -> PLC,1.66501
1776090376.6136558,2.6057896614074707,IO -> PLC,1.25704
1776090376.6776543,2.669788122177124,IO -> PLC,3.40917
1776090376.741653,2.7337868213653564,IO -> PLC,5.17721
1776090376.8056517,2.797785520553589,IO -> PLC,4.87435
1776090376.8696492,2.861783027648926,IO -> PLC,4.20924
1776090376.9336479,2.925781726837158,IO -> PLC,3.73381
1776090376.9976463,2.9897801876068115,IO -> PLC,2.41635
1776090377.061645,3.053778886795044,IO -> PLC,3.02498
1776090377.1256437,3.1177775859832764,IO -> PLC,3.02549
1776090377.1896424,3.181776285171509,IO -> PLC,2.38902
1776090377.253641,3.245774745941162,IO -> PLC,1.98408
1776090377.3176386,3.309772491455078,IO -> PLC,3.68876
1776090377.381637,3.3737709522247314,IO -> PLC,3.50382
1776090377.4456358,3.437769651412964,IO -> PLC,3.37826
1776090377.5096345,3.5017683506011963,IO -> PLC,2.73674
1776090377.5736332,3.5657670497894287,IO -> PLC,2.62661
1776090377.6376317,3.629765510559082,IO -> PLC,1.80806
1776090377.7016304,3.6937642097473145,IO -> PLC,3.24616
1776090377.7656288,3.7577626705169678,IO -> PLC,2.97627
1776090377.8296266,3.821760416030884,IO -> PLC,3.29431
1776090377.8936253,3.885759115219116,IO -> PLC,2.59832
1776090377.9576237,3.9497575759887695,IO -> PLC,2.25794
1776090378.0216224,4.013756275177002,IO -> PLC,1.93164
1776090378.085621,4.077754974365234,IO -> PLC,1.70383
1776090378.1496196,4.141753435134888,IO -> PLC,1.20568
1776090378.2136183,4.20575213432312,IO -> PLC,1.05972
1776090378.2776158,4.269749641418457,IO -> PLC,6.08726
1776090378.3416145,4.3337483406066895,IO -> PLC,5.74777
1776090378.4056132,4.397747039794922,IO -> PLC,4.79088
1776090378.4696116,4.461745500564575,IO -> PLC,4.73515
1776090378.5336103,4.525744199752808,IO -> PLC,4.45214
1776090378.597609,4.58974289894104,IO -> PLC,1.40395
1776090378.6616075,4.653741359710693,IO -> PLC,4.24709
1776090378.7256052,4.717739105224609,IO -> PLC,3.95999
1776090378.789604,4.781737804412842,IO -> PLC,2.77565
1776090378.8536024,4.845736265182495,IO -> PLC,2.35215
1776090378.917601,4.9097349643707275,IO -> PLC,2.24922
1776090378.9815996,4.973733425140381,IO -> PLC,2.05197
1776090379.0455983,5.037732124328613,IO -> PLC,1.74743
1776090379.109597,5.101730823516846,IO -> PLC,1.33729
1776090379.1735945,5.165728330612183,IO -> PLC,5.9993
1776090379.2375932,5.229727029800415,IO -> PLC,5.60764
1776090379.3015919,5.2937257289886475,IO -> PLC,5.0459
1776090379.3655903,5.357724189758301,IO -> PLC,1.57697
1776090379.429589,5.421722888946533,IO -> PLC,6.38011
1776090379.4935877,5.485721588134766,IO -> PLC,4.36646
1776090379.5575862,5.549720048904419,IO -> PLC,4.95364
1776090379.621584,5.613717794418335,IO -> PLC,4.31412
1776090379.6855824,5.677716255187988,IO -> PLC,4.33313
1776090379.749581,5.741714954376221,IO -> PLC,4.96855
1776090379.8135798,5.805713653564453,IO -> PLC,3.76574
1776090379.8775783,5.8697121143341064,IO -> PLC,4.22507
1776090379.941577,5.933710813522339,IO -> PLC,3.62532
1776090380.0055757,5.997709512710571,IO -> PLC,2.76788
1776090380.0695732,6.061707019805908,IO -> PLC,2.63519
1776090380.1335719,6.125705718994141,IO -> PLC,2.15537
1776090380.1975706,6.189704418182373,IO -> PLC,1.71858
1776090380.261569,6.253702878952026,IO -> PLC,1.92503
1776090380.3255677,6.317701578140259,IO -> PLC,1.32552
1776090380.3895664,6.381700277328491,IO -> PLC,4.88764
1776090380.453565,6.4456987380981445,IO -> PLC,5.63251
1776090380.5175626,6.5096964836120605,IO -> PLC,5.18853
1776090380.581561,6.573694944381714,IO -> PLC,4.59102
1776090380.6455598,6.637693643569946,IO -> PLC,4.24648
1776090380.7095585,6.701692342758179,IO -> PLC,3.73809
1776090380.7735572,6.765691041946411,IO -> PLC,3.22458
1776090380.8375556,6.8296895027160645,IO -> PLC,2.79485
1776090380.9015543,6.893688201904297,IO -> PLC,2.12053
1776090380.9655519,6.957685708999634,IO -> PLC,1.9684
1776090381.0295506,7.021684408187866,IO -> PLC,2.0334
1776090381.0935493,7.085683107376099,IO -> PLC,1.54662
1776090381.1575477,7.149681568145752,IO -> PLC,1.54089
1776090381.2215464,7.213680267333984,IO -> PLC,1.02035
1776090381.285545,7.277678966522217,IO -> PLC,5.7794
1776090381.3495438,7.341677665710449,IO -> PLC,2.39041
1776090381.4135413,7.405675172805786,IO -> PLC,1.91882
1776090381.47754,7.4696738719940186,IO -> PLC,1.34171
1776090381.5415385,7.533672332763672,IO -> PLC,1.11806
1776090381.6055372,7.597671031951904,IO -> PLC,0.82368
1776090381.6695359,7.661669731140137,IO -> PLC,4.86822
1776090381.7335343,7.72566819190979,IO -> PLC,0.75391
1776090381.797533,7.7896668910980225,IO -> PLC,5.82658
1776090381.8615305,7.853664398193359,IO -> PLC,5.08242
1776090381.9255292,7.917663097381592,IO -> PLC,4.81173
1776090381.989528,7.981661796569824,IO -> PLC,4.21006
1776090382.0535264,8.045660257339478,IO -> PLC,3.84809
1776090382.117525,8.10965895652771,IO -> PLC,3.35802
1776090382.1815238,8.173657655715942,IO -> PLC,2.62938
1776090382.2455223,8.237656116485596,IO -> PLC,2.93399
1776090382.30952,8.301653861999512,IO -> PLC,2.63553
1776090382.3735187,8.365652561187744,IO -> PLC,1.82705
1776090382.4375172,8.429651021957397,IO -> PLC,1.56644
1776090382.5015159,8.49364972114563,IO -> PLC,1.23814
1776090382.5655146,8.557648420333862,IO -> PLC,1.53971
1776090382.629513,8.621646881103516,IO -> PLC,1.3335
1776090382.6935117,8.685645580291748,IO -> PLC,0.87616
1776090382.7575092,8.749643087387085,IO -> PLC,5.72857
1776090382.821508,8.813641786575317,IO -> PLC,5.45156
1776090382.8855066,8.87764048576355,IO -> PLC,4.69852
1776090382.949505,8.941638946533203,IO -> PLC,4.21677
1776090383.0135038,9.005637645721436,IO -> PLC,3.8792
1776090383.0775025,9.069636344909668,IO -> PLC,3.11784
1776090383.141501,9.133634805679321,IO -> PLC,3.00475
1776090383.2054987,9.197632551193237,IO -> PLC,2.09691
1776090383.2694974,9.26163125038147,IO -> PLC,1.76157
1776090383.3334959,9.325629711151123,IO -> PLC,4.27613
1776090383.3974946,9.389628410339355,IO -> PLC,3.75934
1776090383.461493,9.453626871109009,IO -> PLC,3.56441
1776090383.5254917,9.517625570297241,IO -> PLC,3.14387
1776090383.5894904,9.581624269485474,IO -> PLC,3.14334
1776090383.653488,9.64562177658081,IO -> PLC,2.41278
1776090383.7174866,9.709620475769043,IO -> PLC,2.81277
1776090383.7814853,9.773619174957275,IO -> PLC,2.19973
1776090383.8454838,9.837617635726929,IO -> PLC,2.04768
1776090383.9094825,9.901616334915161,IO -> PLC,1.22776
1776090383.9734812,9.965615034103394,IO -> PLC,6.30371
1776090384.0374799,10.029613733291626,IO -> PLC,5.89749
1776090384.1014774,10.093611240386963,IO -> PLC,5.32446
1776090384.1654758,10.157609701156616,IO -> PLC,4.34117
1776090384.2294745,10.221608400344849,IO -> PLC,4.81251
1776090384.2934732,10.285607099533081,IO -> PLC,4.10132
1776090384.357472,10.349605798721313,IO -> PLC,3.7987
1776090384.4214704,10.413604259490967,IO -> PLC,2.98422
1776090384.485469,10.4776029586792,IO -> PLC,2.81057
1776090384.5494666,10.541600465774536,IO -> PLC,2.49659
1776090384.6134653,10.605599164962769,IO -> PLC,2.51968
1776090384.677464,10.669597864151001,IO -> PLC,2.19561
1776090384.7414625,10.733596324920654,IO -> PLC,1.98628
1776090384.8054612,10.797595024108887,IO -> PLC,1.05388
1776090384.8694599,10.86159372329712,IO -> PLC,5.99526
1776090384.9334586,10.925592422485352,IO -> PLC,5.77448
1776090384.997456,10.989589929580688,IO -> PLC,4.85033
1776090385.0614548,11.053588628768921,IO -> PLC,4.46194
1776090385.1254532,11.117587089538574,IO -> PLC,4.07404
1776090385.189452,11.181585788726807,IO -> PLC,3.30557
1776090385.2534506,11.245584487915039,IO -> PLC,2.89862
1776090385.317449,11.309582948684692,IO -> PLC,5.38541
1776090385.3814478,11.373581647872925,IO -> PLC,4.48709
1776090385.4454453,11.437579154968262,IO -> PLC,3.83118
1776090385.509444,11.501577854156494,IO -> PLC,3.84673
1776090385.5734427,11.565576553344727,IO -> PLC,3.0629
1776090385.6374414,11.629575252532959,IO -> PLC,2.35986
1776090385.7014399,11.693573713302612,IO -> PLC,2.44958
1776090385.7654386,11.757572412490845,IO -> PLC,2.4541
1776090385.8294373,11.821571111679077,IO -> PLC,2.50166
1776090385.8934348,11.885568618774414,IO -> PLC,1.938
1776090385.9574335,11.949567317962646,IO -> PLC,1.41128
1776090386.021432,12.0135657787323,IO -> PLC,4.95588
1776090386.0854306,12.077564477920532,IO -> PLC,5.88925
1776090386.1494293,12.141563177108765,IO -> PLC,5.8324
1776090386.2134278,12.205561637878418,IO -> PLC,5.51858
1776090386.2774265,12.26956033706665,IO -> PLC,5.12692
1776090386.3414242,12.333558082580566,IO -> PLC,4.21708
1776090386.4054227,12.39755654335022,IO -> PLC,4.46632
1776090386.4694214,12.461555242538452,IO -> PLC,4.21187
1776090386.53342,12.525553941726685,IO -> PLC,3.82133
1776090386.5974185,12.589552402496338,IO -> PLC,3.49703
1776090386.6614172,12.65355110168457,IO -> PLC,2.83208
1776090386.7254157,12.717549562454224,IO -> PLC,2.67171
1776090386.7894135,12.78154730796814,IO -> PLC,2.08444
1776090386.8534122,12.845546007156372,IO -> PLC,2.00599
1776090386.9174106,12.909544467926025,IO -> PLC,1.41464
1776090386.9814093,12.973543167114258,IO -> PLC,0.72609
1776090387.045408,13.03754186630249,IO -> PLC,5.74524
