timestamp,rel_time_s,direction,e2e_latency_ms
1776421476.0235302,0.012415409088134766,IO -> PLC,0.63569
1776421476.087528,0.07641315460205078,IO -> PLC,0.61553
1776421476.1515267,0.1404118537902832,IO -> PLC,0.6549
1776421476.2155254,0.20441055297851562,IO -> PLC,0.66771
1776421476.2795243,0.26840949058532715,IO -> PLC,0.6886
1776421476.343523,0.33240818977355957,IO -> PLC,0.68797
1776421476.4075217,0.396406888961792,IO -> PLC,0.65886
1776421476.4715195,0.460404634475708,IO -> PLC,0.64286
1776421476.5355182,0.5244033336639404,IO -> PLC,0.6003
1776421476.5995169,0.5884020328521729,IO -> PLC,0.6356
1776421476.6635158,0.6524009704589844,IO -> PLC,0.65744
1776421476.7275145,0.7163996696472168,IO -> PLC,57.10588
1776421476.7915132,0.7803983688354492,IO -> PLC,0.66154
1776421476.855511,0.8443961143493652,IO -> PLC,0.66002
1776421476.9195096,0.9083948135375977,IO -> PLC,0.66163
1776421476.9835086,0.9723937511444092,IO -> PLC,0.68852
1776421477.0475073,1.0363924503326416,IO -> PLC,0.69422
1776421477.111506,1.100391149520874,IO -> PLC,0.68038
1776421477.1755047,1.1643898487091064,IO -> PLC,0.76967
1776421477.2395024,1.2283875942230225,IO -> PLC,0.73952
1776421477.3035011,1.2923862934112549,IO -> PLC,0.62736
1776421477.3675,1.3563852310180664,IO -> PLC,0.62281
1776421477.4314988,1.4203839302062988,IO -> PLC,0.66002
1776421477.4954975,1.4843826293945312,IO -> PLC,0.69018
1776421477.5594962,1.5483813285827637,IO -> PLC,0.68763
1776421477.623494,1.6123790740966797,IO -> PLC,0.67484
1776421477.6874926,1.676377773284912,IO -> PLC,9.9396
1776421477.7514915,1.7403767108917236,IO -> PLC,0.65909
1776421477.8154902,1.804375410079956,IO -> PLC,0.68543
1776421477.879489,1.8683741092681885,IO -> PLC,0.70735
1776421477.9434876,1.932372808456421,IO -> PLC,0.67504
1776421478.0074854,1.996370553970337,IO -> PLC,0.63152
1776421478.071484,2.0603692531585693,IO -> PLC,0.65233
1776421478.1354828,2.1243679523468018,IO -> PLC,0.62434
1776421478.1994817,2.1883668899536133,IO -> PLC,0.61946
1776421478.2634804,2.2523655891418457,IO -> PLC,0.67523
1776421478.3274791,2.316364288330078,IO -> PLC,0.66244
1776421478.3914769,2.380362033843994,IO -> PLC,0.64748
1776421478.4554758,2.4443609714508057,IO -> PLC,0.63965
1776421478.5194745,2.508359670639038,IO -> PLC,0.61662
1776421478.5834732,2.5723583698272705,IO -> PLC,58.88986
1776421478.647472,2.636357069015503,IO -> PLC,0.64728
1776421478.7114706,2.7003557682037354,IO -> PLC,0.67641
1776421478.7754683,2.7643535137176514,IO -> PLC,0.70849
1776421478.839467,2.828352212905884,IO -> PLC,0.61298
1776421478.903466,2.8923511505126953,IO -> PLC,0.6317
1776421478.9674647,2.9563498497009277,IO -> PLC,0.62299
1776421479.0314634,3.02034854888916,IO -> PLC,0.63476
1776421479.0954611,3.084346294403076,IO -> PLC,0.65868
1776421479.1594598,3.1483449935913086,IO -> PLC,0.6703
1776421479.2234585,3.212343692779541,IO -> PLC,0.64639
1776421479.2874575,3.2763426303863525,IO -> PLC,0.63959
1776421479.3514562,3.340341329574585,IO -> PLC,0.63904
1776421479.4154549,3.4043400287628174,IO -> PLC,0.66816
1776421479.4794526,3.4683377742767334,IO -> PLC,0.69129
1776421479.5434513,3.532336473464966,IO -> PLC,0.66082
1776421479.60745,3.5963351726531982,IO -> PLC,0.61514
1776421479.671449,3.6603341102600098,IO -> PLC,0.61171
1776421479.7354476,3.724332809448242,IO -> PLC,0.65412
1776421479.7994463,3.7883315086364746,IO -> PLC,0.66485
1776421479.863444,3.8523292541503906,IO -> PLC,0.67646
1776421479.9274428,3.916327953338623,IO -> PLC,0.79167
1776421479.9914417,3.9803268909454346,IO -> PLC,0.62415
1776421480.0554404,4.044325590133667,IO -> PLC,0.85097
1776421480.1194391,4.108324289321899,IO -> PLC,0.62104
1776421480.1834378,4.172322988510132,IO -> PLC,0.61313
1776421480.2474356,4.236320734024048,IO -> PLC,0.64354
1776421480.3114343,4.30031943321228,IO -> PLC,0.66843
1776421480.3754332,4.364318370819092,IO -> PLC,1.38679
1776421480.439432,4.428317070007324,IO -> PLC,0.61309
1776421480.5034306,4.492315769195557,IO -> PLC,0.61765
