timestamp,rel_time_s,direction,e2e_latency_ms
1775750563.0344746,0.0,PLC -> IO,0.034774
1775750563.053849,0.019374370574951172,IO -> PLC,0.034572
1775750563.0984771,0.06400251388549805,PLC -> IO,0.034634
1775750563.1178474,0.08337283134460449,IO -> PLC,0.034742
1775750563.1624796,0.1280050277709961,PLC -> IO,0.034884
1775750563.181846,0.1473712921142578,IO -> PLC,0.034602
1775750563.2264824,0.19200778007507324,PLC -> IO,0.034574
1775750563.2458444,0.21136975288391113,IO -> PLC,0.034542
1775750563.290485,0.2560102939605713,PLC -> IO,0.034674
1775750563.3098428,0.27536821365356445,IO -> PLC,0.034402
1775750563.3544874,0.32001280784606934,PLC -> IO,0.034524
1775750563.373841,0.33936643600463867,IO -> PLC,0.034582
1775750563.4184902,0.3840155601501465,PLC -> IO,0.034784
1775750563.4378395,0.403364896774292,IO -> PLC,0.034592
1775750563.4824927,0.44801807403564453,PLC -> IO,0.034724
1775750563.501838,0.4673633575439453,IO -> PLC,0.034622
1775750563.5464952,0.5120205879211426,PLC -> IO,0.034574
1775750563.5658364,0.5313618183135986,IO -> PLC,0.034792
1775750563.6104977,0.5760231018066406,PLC -> IO,0.034674
1775750563.629835,0.595360279083252,IO -> PLC,0.034642
1775750563.6745005,0.6400258541107178,PLC -> IO,0.034684
1775750563.693833,0.6593585014343262,IO -> PLC,0.034672
1775750563.738503,0.7040283679962158,PLC -> IO,0.034614
1775750563.7578316,0.7233569622039795,IO -> PLC,0.034682
1775750563.8025055,0.7680308818817139,PLC -> IO,0.034704
1775750563.82183,0.7873554229736328,IO -> PLC,0.034462
1775750563.866508,0.8320333957672119,PLC -> IO,0.034564
1775750563.8858285,0.8513538837432861,IO -> PLC,0.034712
1775750563.9305108,0.8960361480712891,PLC -> IO,0.034494
1775750563.949827,0.9153523445129395,IO -> PLC,0.034732
1775750563.9945133,0.9600386619567871,PLC -> IO,0.034744
1775750564.0138254,0.9793508052825928,IO -> PLC,0.034662
1775750564.0585158,1.0240411758422852,PLC -> IO,0.034754
1775750564.0778236,1.043349027633667,IO -> PLC,0.034762
1775750564.1225185,1.0880439281463623,PLC -> IO,0.034534
1775750564.141822,1.1073474884033203,IO -> PLC,0.034542
1775750564.186521,1.1520464420318604,PLC -> IO,0.034544
1775750564.2058206,1.1713459491729736,IO -> PLC,0.034712
1775750564.2505236,1.2160489559173584,PLC -> IO,0.034644
1775750564.269819,1.235344409942627,IO -> PLC,0.034732
1775750564.314526,1.2800514698028564,PLC -> IO,0.034744
1775750564.3338175,1.2993428707122803,IO -> PLC,0.034742
1775750564.3785288,1.3440542221069336,PLC -> IO,0.034604
1775750564.3978157,1.3633410930633545,IO -> PLC,0.034752
1775750564.4425313,1.4080567359924316,PLC -> IO,0.034854
1775750564.4618142,1.4273395538330078,IO -> PLC,0.034702
1775750564.5065339,1.4720592498779297,PLC -> IO,0.034704
1775750564.5258126,1.4913380146026611,IO -> PLC,0.034552
1775750564.5705366,1.5360620021820068,PLC -> IO,0.034564
1775750564.589811,1.5553364753723145,IO -> PLC,0.034732
1775750564.6345391,1.6000645160675049,PLC -> IO,0.034664
1775750564.6538095,1.6193349361419678,IO -> PLC,0.034732
1775750564.6985416,1.664067029953003,PLC -> IO,0.034514
