timestamp,rel_time_s,direction,ipg_ms
1775664124.681991,0.0,PLC -> IO,32.063
1775664124.713993,0.03200197219848633,PLC -> IO,32.002
1775664124.746027,0.06403589248657227,PLC -> IO,32.034
1775664124.778027,0.09603595733642578,PLC -> IO,32.0
1775664124.809947,0.12795591354370117,PLC -> IO,31.92
1775664124.84199,0.15999889373779297,PLC -> IO,32.043
1775664124.87395,0.19195890426635742,PLC -> IO,31.96
1775664124.905934,0.22394299507141113,PLC -> IO,31.984
1775664124.93797,0.2559788227081299,PLC -> IO,32.036
1775664124.969998,0.2880067825317383,PLC -> IO,32.028
1775664125.001963,0.31997179985046387,PLC -> IO,31.965
1775664125.033944,0.35195279121398926,PLC -> IO,31.981
1775664125.06598,0.3839888572692871,PLC -> IO,32.036
1775664125.098009,0.416018009185791,PLC -> IO,32.029
1775664125.129999,0.44800782203674316,PLC -> IO,31.99
1775664125.161974,0.479982852935791,PLC -> IO,31.975
1775664125.193964,0.5119729042053223,PLC -> IO,31.99
1775664125.225942,0.5439507961273193,PLC -> IO,31.978
1775664125.257959,0.5759677886962891,PLC -> IO,32.017
1775664125.289959,0.6079678535461426,PLC -> IO,32.0
1775664125.321963,0.6399719715118408,PLC -> IO,32.004
1775664125.353991,0.6719999313354492,PLC -> IO,32.028
1775664125.38599,0.7039988040924072,PLC -> IO,31.999
1775664125.418042,0.7360508441925049,PLC -> IO,32.052
1775664125.449988,0.7679967880249023,PLC -> IO,31.946
1775664125.482042,0.8000509738922119,PLC -> IO,32.054
1775664125.514045,0.8320538997650146,PLC -> IO,32.003
1775664125.546047,0.864055871963501,PLC -> IO,32.002
1775664125.578013,0.896021842956543,PLC -> IO,31.966
1775664125.610012,0.9280209541320801,PLC -> IO,31.999
1775664125.642012,0.9600207805633545,PLC -> IO,32.0
1775664125.674009,0.9920179843902588,PLC -> IO,31.997
1775664125.70605,1.0240588188171387,PLC -> IO,32.041
1775664125.738023,1.0560319423675537,PLC -> IO,31.973
1775664125.770051,1.088059902191162,PLC -> IO,32.028
1775664125.802042,1.1200509071350098,PLC -> IO,31.991
1775664125.834017,1.1520259380340576,PLC -> IO,31.975
1775664125.865971,1.1839799880981445,PLC -> IO,31.954
1775664125.898023,1.216031789779663,PLC -> IO,32.052
1775664125.930058,1.2480669021606445,PLC -> IO,32.035
1775664125.962056,1.2800648212432861,PLC -> IO,31.998
1775664125.994057,1.312065839767456,PLC -> IO,32.001
1775664126.026058,1.344066858291626,PLC -> IO,32.001
1775664126.058018,1.3760268688201904,PLC -> IO,31.96
1775664126.090049,1.4080579280853271,PLC -> IO,32.031
1775664126.122049,1.4400579929351807,PLC -> IO,32.0
1775664126.154063,1.472071886062622,PLC -> IO,32.014
1775664126.186063,1.5040719509124756,PLC -> IO,32.0
1775664126.218063,1.536072015762329,PLC -> IO,32.0
1775664126.249976,1.5679848194122314,PLC -> IO,31.913
1775664126.281987,1.5999958515167236,PLC -> IO,32.011
1775664126.314003,1.632011890411377,PLC -> IO,32.016
1775664126.346068,1.664076805114746,PLC -> IO,32.065
1775664126.378068,1.6960768699645996,PLC -> IO,32.0
1775664126.410032,1.7280409336090088,PLC -> IO,31.964
1775664126.442073,1.7600820064544678,PLC -> IO,32.041
1775664126.474069,1.7920780181884766,PLC -> IO,31.996
1775664126.506069,1.824077844619751,PLC -> IO,32.0
1775664126.53807,1.856078863143921,PLC -> IO,32.001
1775664126.570071,1.8880798816680908,PLC -> IO,32.001
1775664126.602076,1.9200849533081055,PLC -> IO,32.005
1775664126.63404,1.9520490169525146,PLC -> IO,31.964
