timestamp_sec,rel_time_s,throughput_mbps
1776266227,101,0.0017
1776266228,102,0.0017
1776266229,103,0.0017
1776266230,104,0.0017
1776266244,118,0.0036
1776266245,119,0.0036
1776266246,120,0.0036
1776266247,121,0.0036
1776266347,221,0.0017
1776266348,222,0.0017
1776266349,223,0.0017
1776266350,224,0.0017
1776266364,238,0.0036
1776266365,239,0.0036
1776266366,240,0.0036
1776266367,241,0.0036
1776266467,341,0.0017
1776266468,342,0.0017
1776266469,343,0.0017
1776266470,344,0.0017
1776266484,358,0.0036
1776266485,359,0.0036
1776266486,360,0.0036
1776266487,361,0.0036
