timestamp,rel_time_s,direction,e2e_latency_ms
1776422620.0218458,0.013982057571411133,IO -> PLC,0.58436
1776422620.0491033,0.04123950004577637,PLC -> IO,0.553558
1776422620.0858445,0.07798075675964355,IO -> PLC,0.59198
1776422620.113106,0.10524225234985352,PLC -> IO,0.558238
1776422620.1498435,0.14197969436645508,IO -> PLC,0.58326
1776422620.1771088,0.16924500465393066,PLC -> IO,0.555878
1776422620.2138422,0.2059783935546875,IO -> PLC,0.58367
1776422620.2411115,0.2332477569580078,PLC -> IO,0.547688
1776422620.2778409,0.2699770927429199,IO -> PLC,0.58425
1776422620.3051143,0.29725050926208496,PLC -> IO,0.555498
1776422620.3418386,0.33397483825683594,IO -> PLC,0.59273
1776422620.369117,0.3612532615661621,PLC -> IO,0.560268
1776422620.4058375,0.39797377586364746,IO -> PLC,0.58906
1776422620.4331198,0.42525601387023926,PLC -> IO,0.557838
1776422620.4698362,0.4619724750518799,IO -> PLC,0.58571
1776422620.4971225,0.4892587661743164,PLC -> IO,0.561728
1776422620.533835,0.5259711742401123,IO -> PLC,0.58292
1776422620.5611253,0.5532615184783936,PLC -> IO,0.545678
1776422620.5978336,0.5899698734283447,IO -> PLC,0.59765
1776422620.625128,0.6172642707824707,PLC -> IO,0.560608
1776422620.6618326,0.6539688110351562,IO -> PLC,0.58494
1776422620.6891308,0.6812670230865479,PLC -> IO,0.569128
1776422620.7258303,0.7179665565490723,IO -> PLC,0.58431
1776422620.7531335,0.745269775390625,PLC -> IO,0.562138
1776422620.789829,0.7819652557373047,IO -> PLC,0.60735
1776422620.8171363,0.8092725276947021,PLC -> IO,0.554818
1776422620.8538277,0.8459639549255371,IO -> PLC,0.58112
1776422620.881139,0.8732752799987793,PLC -> IO,0.559428
1776422620.9178267,0.9099628925323486,IO -> PLC,0.59082
1776422620.9451418,0.9372780323028564,PLC -> IO,0.568338
1776422620.9818254,0.973961591720581,IO -> PLC,0.5853
1776422621.0091445,1.0012807846069336,PLC -> IO,0.561348
1776422621.045824,1.0379602909088135,IO -> PLC,0.58659
1776422621.0731473,1.0652835369110107,PLC -> IO,0.540918
1776422621.1098218,1.1019580364227295,IO -> PLC,0.59213
1776422621.13715,1.129286289215088,PLC -> IO,0.550718
1776422621.1738207,1.165956974029541,IO -> PLC,0.59269
1776422621.2011528,1.193289041519165,PLC -> IO,0.567248
1776422621.2378194,1.2299556732177734,IO -> PLC,0.5851
1776422621.2651556,1.2572917938232422,PLC -> IO,0.560248
1776422621.3018181,1.2939543724060059,IO -> PLC,0.59351
1776422621.3291583,1.3212945461273193,PLC -> IO,0.546698
