timestamp,rel_time_s,direction,ipg_ms
1775739083.977177,0.0,PLC -> IO,32.032
1775739084.009162,0.03198504447937012,PLC -> IO,31.985
1775739084.041226,0.06404900550842285,PLC -> IO,32.064
1775739084.07326,0.09608316421508789,PLC -> IO,32.034
1775739084.105224,0.12804698944091797,PLC -> IO,31.964
1775739084.137194,0.1600170135498047,PLC -> IO,31.97
1775739084.169178,0.1920011043548584,PLC -> IO,31.984
1775739084.20118,0.22400307655334473,PLC -> IO,32.002
1775739084.23318,0.25600314140319824,PLC -> IO,32.0
1775739084.265202,0.2880251407623291,PLC -> IO,32.022
1775739084.297261,0.3200840950012207,PLC -> IO,32.059
1775739084.329218,0.35204100608825684,PLC -> IO,31.957
1775739084.361267,0.3840901851654053,PLC -> IO,32.049
1775739084.393228,0.41605114936828613,PLC -> IO,31.961
1775739084.425204,0.4480271339416504,PLC -> IO,31.976
1775739084.45718,0.48000311851501465,PLC -> IO,31.976
1775739084.489184,0.5120069980621338,PLC -> IO,32.004
1775739084.521199,0.5440220832824707,PLC -> IO,32.015
1775739084.553187,0.57600998878479,PLC -> IO,31.988
1775739084.585186,0.6080090999603271,PLC -> IO,31.999
1775739084.617185,0.6400082111358643,PLC -> IO,31.999
1775739084.649219,0.6720421314239502,PLC -> IO,32.034
1775739084.681187,0.704010009765625,PLC -> IO,31.968
1775739084.713182,0.7360050678253174,PLC -> IO,31.995
1775739084.745182,0.7680051326751709,PLC -> IO,32.0
1775739084.777079,0.7999022006988525,PLC -> IO,31.897
1775739084.809184,0.8320071697235107,PLC -> IO,32.105
1775739084.841184,0.8640069961547852,PLC -> IO,32.0
1775739084.873187,0.896010160446167,PLC -> IO,32.003
1775739084.905186,0.928009033203125,PLC -> IO,31.999
1775739084.937187,0.9600100517272949,PLC -> IO,32.001
1775739084.969188,0.9920110702514648,PLC -> IO,32.001
1775739085.001193,1.0240161418914795,PLC -> IO,32.005
1775739085.033194,1.0560171604156494,PLC -> IO,32.001
1775739085.065202,1.0880250930786133,PLC -> IO,32.008
1775739085.097191,1.1200141906738281,PLC -> IO,31.989
1775739085.129212,1.1520349979400635,PLC -> IO,32.021
1775739085.161232,1.1840550899505615,PLC -> IO,32.02
1775739085.193284,1.2161071300506592,PLC -> IO,32.052
1775739085.22528,1.248103141784668,PLC -> IO,31.996
1775739085.257285,1.2801082134246826,PLC -> IO,32.005
1775739085.28929,1.3121130466461182,PLC -> IO,32.005
1775739085.321236,1.3440589904785156,PLC -> IO,31.946
1775739085.353286,1.3761091232299805,PLC -> IO,32.05
1775739085.385288,1.4081110954284668,PLC -> IO,32.002
1775739085.417251,1.4400742053985596,PLC -> IO,31.963
1775739085.449216,1.472038984298706,PLC -> IO,31.965
1775739085.48128,1.504103183746338,PLC -> IO,32.064
1775739085.513291,1.536113977432251,PLC -> IO,32.011
1775739085.545228,1.5680510997772217,PLC -> IO,31.937
1775739085.577258,1.600081205368042,PLC -> IO,32.03
1775739085.609259,1.6320819854736328,PLC -> IO,32.001
1775739085.641231,1.6640541553497314,PLC -> IO,31.972
1775739085.673222,1.696045160293579,PLC -> IO,31.991
1775739085.70523,1.728053092956543,PLC -> IO,32.008
1775739085.737296,1.7601191997528076,PLC -> IO,32.066
1775739085.769298,1.792121171951294,PLC -> IO,32.002
1775739085.801295,1.8241181373596191,PLC -> IO,31.997
1775739085.833296,1.856119155883789,PLC -> IO,32.001
1775739085.865299,1.8881220817565918,PLC -> IO,32.003
1775739085.897299,1.9201221466064453,PLC -> IO,32.0
1775739085.9293,1.9521231651306152,PLC -> IO,32.001
1775739085.961284,1.9841070175170898,PLC -> IO,31.984
1775739085.993267,2.016090154647827,PLC -> IO,31.983
1775739086.025305,2.048128128051758,PLC -> IO,32.038
1775739086.057301,2.0801241397857666,PLC -> IO,31.996
1775739086.089302,2.1121251583099365,PLC -> IO,32.001
1775739086.121303,2.1441261768341064,PLC -> IO,32.001
1775739086.153263,2.176086187362671,PLC -> IO,31.96
1775739086.185225,2.208048105239868,PLC -> IO,31.962
1775739086.217257,2.2400801181793213,PLC -> IO,32.032
1775739086.24925,2.2720730304718018,PLC -> IO,31.993
1775739086.281309,2.3041319847106934,PLC -> IO,32.059
1775739086.313308,2.3361310958862305,PLC -> IO,31.999
1775739086.345296,2.36811900138855,PLC -> IO,31.988
1775739086.377308,2.4001309871673584,PLC -> IO,32.012
1775739086.409309,2.4321320056915283,PLC -> IO,32.001
1775739086.441313,2.4641361236572266,PLC -> IO,32.004
1775739086.473264,2.496087074279785,PLC -> IO,31.951
1775739086.505302,2.528125047683716,PLC -> IO,32.038
1775739086.537301,2.560124158859253,PLC -> IO,31.999
1775739086.569315,2.5921380519866943,PLC -> IO,32.014
