timestamp,rel_time_s,direction,skew_ms
1776082109.9189897,0.013728857040405273,PLC -> IO,0.141288
1776082109.935227,0.029966115951538086,PLC -> IO,0.344152
1776082109.9511716,0.04591083526611328,PLC -> IO,0.356552
1776082109.966992,0.06173110008239746,PLC -> IO,0.086328
1776082109.9829996,0.07773876190185547,PLC -> IO,0.5384880000000001
1776082109.9989862,0.09372544288635254,PLC -> IO,0.351768
1776082110.0149705,0.1097097396850586,PLC -> IO,0.33440800000000004
1776082110.0312314,0.12597060203552246,PLC -> IO,0.564328
1776082110.0471823,0.1419215202331543,PLC -> IO,0.340008
1776082110.0631337,0.15787291526794434,PLC -> IO,0.42952799999999997
1776082110.0791042,0.1738433837890625,PLC -> IO,1.090248
1776082110.0951562,0.1898953914642334,PLC -> IO,0.257368
1776082110.1110408,0.205780029296875,PLC -> IO,0.289848
1776082110.126948,0.22168731689453125,PLC -> IO,0.31648800000000005
1776082110.1430483,0.23778748512268066,PLC -> IO,0.199048
1776082110.1589627,0.25370192527770996,PLC -> IO,0.37496799999999997
1776082110.1749856,0.26972484588623047,PLC -> IO,0.290968
1776082110.1909647,0.2857038974761963,PLC -> IO,0.312488
1776082110.20703,0.3017692565917969,PLC -> IO,0.348568
1776082110.2229846,0.31772375106811523,PLC -> IO,0.295688
1776082110.238977,0.33371615409851074,PLC -> IO,0.532408
1776082110.2549684,0.34970760345458984,PLC -> IO,0.116328
1776082110.2709935,0.36573266983032227,PLC -> IO,0.08144799999999999
1776082110.28697,0.38170909881591797,PLC -> IO,0.13768799999999998
1776082110.3029647,0.3977038860321045,PLC -> IO,0.055768
1776082110.3189728,0.4137120246887207,PLC -> IO,0.216648
1776082110.3349748,0.4297139644622803,PLC -> IO,0.12128799999999999
1776082110.350978,0.44571709632873535,PLC -> IO,0.245128
1776082110.3669913,0.4617304801940918,PLC -> IO,0.14312799999999998
1776082110.383016,0.4777553081512451,PLC -> IO,0.043848
1776082110.3995004,0.49423956871032715,PLC -> IO,0.089768
1776082110.415161,0.5099000930786133,PLC -> IO,0.547288
1776082110.431111,0.5258502960205078,PLC -> IO,0.697608
1776082110.4470487,0.54178786277771,PLC -> IO,0.336648
1776082110.4630072,0.557746410369873,PLC -> IO,0.408168
1776082110.478999,0.5737380981445312,PLC -> IO,0.26472799999999996
1776082110.4949818,0.5897209644317627,PLC -> IO,0.218328
1776082110.5110722,0.605811357498169,PLC -> IO,0.131368
1776082110.5269454,0.6216845512390137,PLC -> IO,0.399128
1776082110.5429633,0.637702465057373,PLC -> IO,0.447288
1776082110.558969,0.6537082195281982,PLC -> IO,0.243048
1776082110.5749693,0.6697084903717041,PLC -> IO,0.373768
1776082110.5909698,0.6857089996337891,PLC -> IO,0.352888
1776082110.606974,0.7017130851745605,PLC -> IO,0.057688
1776082110.6229706,0.7177097797393799,PLC -> IO,0.13768799999999998
1776082110.6389837,0.7337229251861572,PLC -> IO,0.130248
1776082110.654972,0.749711275100708,PLC -> IO,0.326808
1776082110.6709964,0.7657356262207031,PLC -> IO,0.135448
1776082110.6870022,0.7817413806915283,PLC -> IO,0.11168800000000001
1776082110.7030015,0.7977406978607178,PLC -> IO,0.258168
1776082110.718996,0.8137352466583252,PLC -> IO,0.131288
1776082110.734997,0.8297362327575684,PLC -> IO,0.151528
1776082110.7512052,0.8459444046020508,PLC -> IO,0.49024799999999996
1776082110.767181,0.8619201183319092,PLC -> IO,0.28528800000000004
1776082110.783143,0.8778822422027588,PLC -> IO,0.322408
1776082110.7990735,0.8938126564025879,PLC -> IO,0.379048
1776082110.815012,0.9097511768341064,PLC -> IO,0.539608
1776082110.8309872,0.9257264137268066,PLC -> IO,0.448968
1776082110.8469653,0.941704511642456,PLC -> IO,0.287928
1776082110.863016,0.9577550888061523,PLC -> IO,0.409528
1776082110.8789449,0.9736840724945068,PLC -> IO,0.288088
1776082110.894975,0.9897141456604004,PLC -> IO,0.36592800000000003
1776082110.9109414,1.0056805610656738,PLC -> IO,0.19176800000000002
1776082110.9269753,1.021714448928833,PLC -> IO,0.139528
1776082110.9429677,1.0377068519592285,PLC -> IO,0.212728
1776082110.9589832,1.0537223815917969,PLC -> IO,0.509688
1776082110.9749885,1.0697276592254639,PLC -> IO,0.135688
1776082110.990993,1.0857322216033936,PLC -> IO,0.15736799999999998
1776082111.0070145,1.1017537117004395,PLC -> IO,0.095368
1776082111.0229821,1.1177213191986084,PLC -> IO,0.035368
1776082111.038959,1.1336982250213623,PLC -> IO,0.08864799999999999
1776082111.0549726,1.1497118473052979,PLC -> IO,0.064728
1776082111.0709772,1.1657164096832275,PLC -> IO,0.074248
1776082111.0869818,1.1817209720611572,PLC -> IO,0.16688799999999998
1776082111.103243,1.1979823112487793,PLC -> IO,0.330808
1776082111.1191816,1.2139208316802979,PLC -> IO,0.370008
1776082111.1351464,1.2298855781555176,PLC -> IO,0.37880800000000003
1776082111.1510863,1.2458255290985107,PLC -> IO,0.44040799999999997
1776082111.1670678,1.2618069648742676,PLC -> IO,0.288808
1776082111.183033,1.2777721881866455,PLC -> IO,0.293688
1776082111.1989875,1.2937266826629639,PLC -> IO,0.438488
1776082111.2150578,1.3097970485687256,PLC -> IO,0.371048
1776082111.2309866,1.325725793838501,PLC -> IO,0.568808
1776082111.2469594,1.3416986465454102,PLC -> IO,0.197128
1776082111.2629886,1.3577277660369873,PLC -> IO,0.602648
1776082111.2789807,1.3737199306488037,PLC -> IO,0.130488
1776082111.2949963,1.389735460281372,PLC -> IO,0.274568
1776082111.3111086,1.4058477878570557,PLC -> IO,0.027288
1776082111.3269649,1.4217040538787842,PLC -> IO,0.211048
1776082111.3429556,1.437694787979126,PLC -> IO,0.15104800000000002
1776082111.3589735,1.4537127017974854,PLC -> IO,0.116488
1776082111.3749776,1.4697167873382568,PLC -> IO,0.105368
1776082111.3909762,1.485715389251709,PLC -> IO,0.225928
1776082111.4069786,1.5017178058624268,PLC -> IO,0.059128
1776082111.4229944,1.5177335739135742,PLC -> IO,0.154888
1776082111.4389777,1.5337169170379639,PLC -> IO,0.095688
1776082111.454985,1.5497241020202637,PLC -> IO,0.083048
1776082111.471203,1.5659422874450684,PLC -> IO,0.399688
1776082111.4871547,1.5818939208984375,PLC -> IO,0.296008
1776082111.5031068,1.5978460311889648,PLC -> IO,0.321768
1776082111.5190701,1.61380934715271,PLC -> IO,0.351608
1776082111.5349944,1.6297335624694824,PLC -> IO,0.410088
1776082111.5509765,1.6457157135009766,PLC -> IO,0.288968
1776082111.5669658,1.6617050170898438,PLC -> IO,0.728248
1776082111.5829997,1.677738904953003,PLC -> IO,0.282728
1776082111.5989594,1.6936986446380615,PLC -> IO,0.334648
1776082111.6149585,1.7096977233886719,PLC -> IO,0.577768
1776082111.6309474,1.7256865501403809,PLC -> IO,0.173048
1776082111.6470172,1.7417564392089844,PLC -> IO,0.33168800000000004
1776082111.6629732,1.7577123641967773,PLC -> IO,0.231208
1776082111.6789694,1.7737085819244385,PLC -> IO,0.282008
1776082111.694974,1.7897131443023682,PLC -> IO,0.060808
1776082111.7109914,1.8057305812835693,PLC -> IO,0.134248
1776082111.726928,1.821667194366455,PLC -> IO,0.08344800000000001
1776082111.7430048,1.8377439975738525,PLC -> IO,0.346968
1776082111.7589848,1.8537240028381348,PLC -> IO,0.038488
1776082111.7749994,1.8697385787963867,PLC -> IO,0.036408
1776082111.791,1.8857390880584717,PLC -> IO,0.013208
1776082111.806997,1.9017362594604492,PLC -> IO,0.065208
1776082111.823194,1.9179332256317139,PLC -> IO,0.44240799999999997
1776082111.8391616,1.9339008331298828,PLC -> IO,0.9828879999999999
1776082111.8551118,1.9498510360717773,PLC -> IO,0.417608
1776082111.871064,1.9658031463623047,PLC -> IO,1.092648
1776082111.887017,1.9817562103271484,PLC -> IO,0.347928
1776082111.90298,1.9977192878723145,PLC -> IO,0.390328
1776082111.9189477,2.0136868953704834,PLC -> IO,0.7304879999999999
1776082111.9349666,2.029705762863159,PLC -> IO,0.338968
1776082111.951128,2.0458672046661377,PLC -> IO,0.249352
1776082111.9669805,2.0617196559906006,PLC -> IO,0.14952800000000002
1776082111.982944,2.077683210372925,PLC -> IO,0.198488
1776082111.998992,2.093731164932251,PLC -> IO,0.34256800000000004
1776082112.014984,2.1097230911254883,PLC -> IO,0.413608
1776082112.031153,2.125892162322998,PLC -> IO,0.11032800000000001
1776082112.046985,2.141724109649658,PLC -> IO,0.066808
1776082112.0629926,2.157731771469116,PLC -> IO,0.130008
1776082112.078973,2.1737122535705566,PLC -> IO,0.14856799999999998
1776082112.094989,2.189728260040283,PLC -> IO,0.27488799999999997
1776082112.1109982,2.205737352371216,PLC -> IO,0.217752
1776082112.1269758,2.221714973449707,PLC -> IO,0.173928
1776082112.1429808,2.237720012664795,PLC -> IO,0.036008
1776082112.158969,2.2537081241607666,PLC -> IO,0.043368000000000004
1776082112.1752198,2.269958972930908,PLC -> IO,0.919208
1776082112.1911907,2.2859299182891846,PLC -> IO,0.452488
1776082112.2071261,2.301865339279175,PLC -> IO,0.329528
1776082112.223098,2.3178372383117676,PLC -> IO,0.414408
1776082112.2391608,2.333899974822998,PLC -> IO,0.35856800000000005
1776082112.2550118,2.3497509956359863,PLC -> IO,0.348888
1776082112.2709687,2.3657078742980957,PLC -> IO,0.599848
1776082112.2869732,2.3817124366760254,PLC -> IO,0.35520799999999997
1776082112.3029757,2.397714853286743,PLC -> IO,0.23144800000000001
1776082112.3189712,2.413710355758667,PLC -> IO,0.178488
1776082112.3351986,2.4299378395080566,PLC -> IO,0.107832
1776082112.3510213,2.445760488510132,PLC -> IO,0.051128
1776082112.3669734,2.461712598800659,PLC -> IO,0.126408
1776082112.3829966,2.477735757827759,PLC -> IO,0.556488
1776082112.3989694,2.493708610534668,PLC -> IO,0.060408
1776082112.4149735,2.5097126960754395,PLC -> IO,0.230248
1776082112.430974,2.5257132053375244,PLC -> IO,0.412968
1776082112.4469774,2.5417165756225586,PLC -> IO,0.034408
