"No.","Time","Time delta from previous captured frame","Reception Port","Source","Destination","CycleCounter","TransferStatus","Protocol","Length","Info"
"3302","12.918117740","0.000723780","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","41984","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:41984 (Valid,Primary,Ok,Run)"
"3304","12.928811074","0.002501294","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","42496","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:42496 (Valid,Primary,Ok,Run)"
"3306","12.934156770","0.000763140","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","42496","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:42496 (Valid,Primary,Ok,Run)"
"3308","12.944811784","0.005463194","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","43008","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:43008 (Valid,Primary,Ok,Run)"
"3310","12.951665920","0.002272620","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","43008","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:43008 (Valid,Primary,Ok,Run)"
"3312","12.960812484","0.005459134","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","43520","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:43520 (Valid,Primary,Ok,Run)"
"3316","12.974205360","0.002329070","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","43520","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:43520 (Valid,Primary,Ok,Run)"
"3317","12.976813194","0.002607834","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","44032","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:44032 (Valid,Primary,Ok,Run)"
"3319","12.989786200","0.008393560","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","44032","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:44032 (Valid,Primary,Ok,Run)"
"3320","12.992813904","0.003027704","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","44544","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:44544 (Valid,Primary,Ok,Run)"
"3325","13.004780140","0.001806450","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","44544","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:44544 (Valid,Primary,Ok,Run)"
"3326","13.008814604","0.004034464","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","45056","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:45056 (Valid,Primary,Ok,Run)"
"3328","13.014289070","0.000897100","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","45056","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:45056 (Valid,Primary,Ok,Run)"
"3330","13.024815314","0.006808504","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","45568","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:45568 (Valid,Primary,Ok,Run)"
"3332","13.031858310","0.002466670","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","45568","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:45568 (Valid,Primary,Ok,Run)"
"3334","13.040816024","0.006804454","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","46080","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:46080 (Valid,Primary,Ok,Run)"
"3337","13.054898320","0.002084280","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","46080","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:46080 (Valid,Primary,Ok,Run)"
"3338","13.056816724","0.001918404","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","46592","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:46592 (Valid,Primary,Ok,Run)"
"3340","13.061898350","0.000507370","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","46592","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:46592 (Valid,Primary,Ok,Run)"
"3342","13.072817434","0.006214154","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","47104","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:47104 (Valid,Primary,Ok,Run)"
"3344","13.077898490","0.000507840","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","47104","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:47104 (Valid,Primary,Ok,Run)"
"3346","13.088818144","0.004659484","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","47616","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:47616 (Valid,Primary,Ok,Run)"
"3348","13.096974180","0.003583870","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","47616","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:47616 (Valid,Primary,Ok,Run)"
"3350","13.104818844","0.006648944","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","48128","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:48128 (Valid,Primary,Ok,Run)"
"3352","13.110484470","0.001094490","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","48128","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:48128 (Valid,Primary,Ok,Run)"
"3354","13.120819554","0.002608974","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","48640","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:48640 (Valid,Primary,Ok,Run)"
"3356","13.126517170","0.001127520","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","48640","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:48640 (Valid,Primary,Ok,Run)"
"3358","13.136820264","0.006121134","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","49152","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:49152 (Valid,Primary,Ok,Run)"
"3360","13.143048210","0.001658890","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","49152","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:49152 (Valid,Primary,Ok,Run)"
"3362","13.152820964","0.002528624","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","49664","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:49664 (Valid,Primary,Ok,Run)"
"3364","13.158078630","0.000689640","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","49664","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:49664 (Valid,Primary,Ok,Run)"
"3366","13.168821674","0.001040194","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","50176","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:50176 (Valid,Primary,Ok,Run)"
"3368","13.175618190","0.002229530","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","50176","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:50176 (Valid,Primary,Ok,Run)"
"3370","13.184822384","0.004467634","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","50688","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:50688 (Valid,Primary,Ok,Run)"
"3372","13.190656380","0.001268050","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","50688","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:50688 (Valid,Primary,Ok,Run)"
"3374","13.200823084","0.006456054","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","51200","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:51200 (Valid,Primary,Ok,Run)"
"3376","13.208199850","0.002811860","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","51200","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:51200 (Valid,Primary,Ok,Run)"
"3378","13.216823794","0.006460964","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","51712","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:51712 (Valid,Primary,Ok,Run)"
"3380","13.224279430","0.002891770","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","51712","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:51712 (Valid,Primary,Ok,Run)"
"3382","13.232824504","0.003900094","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","52224","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:52224 (Valid,Primary,Ok,Run)"
"3384","13.237717470","0.000330140","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","52224","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:52224 (Valid,Primary,Ok,Run)"
"3386","13.248825204","0.005888354","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","52736","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:52736 (Valid,Primary,Ok,Run)"
"3388","13.255278630","0.001891630","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","52736","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:52736 (Valid,Primary,Ok,Run)"
"3390","13.264825914","0.005244354","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","53248","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:53248 (Valid,Primary,Ok,Run)"
"3392","13.270302090","0.000915420","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","53248","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:53248 (Valid,Primary,Ok,Run)"
"3394","13.280826624","0.006799084","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","53760","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:53760 (Valid,Primary,Ok,Run)"
"3396","13.286840090","0.001453750","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","53760","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:53760 (Valid,Primary,Ok,Run)"
"3398","13.296827324","0.004231734","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","54272","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:54272 (Valid,Primary,Ok,Run)"
"3400","13.301882190","0.000496190","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","54272","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:54272 (Valid,Primary,Ok,Run)"
"3402","13.312828034","0.006264234","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","54784","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:54784 (Valid,Primary,Ok,Run)"
"3404","13.317885770","0.000500100","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","54784","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:54784 (Valid,Primary,Ok,Run)"
"3406","13.328828744","0.006215944","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","55296","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:55296 (Valid,Primary,Ok,Run)"
"3408","13.336443290","0.003057950","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","55296","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:55296 (Valid,Primary,Ok,Run)"
"3410","13.344829444","0.006698784","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","55808","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:55808 (Valid,Primary,Ok,Run)"
"3412","13.350504560","0.001119550","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","55808","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:55808 (Valid,Primary,Ok,Run)"
"3414","13.360830154","0.005173324","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","56320","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:56320 (Valid,Primary,Ok,Run)"
"3416","13.366497500","0.001112820","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","56320","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:56320 (Valid,Primary,Ok,Run)"
"3418","13.376830864","0.006109064","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","56832","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:56832 (Valid,Primary,Ok,Run)"
"3420","13.384037450","0.002653100","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","56832","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:56832 (Valid,Primary,Ok,Run)"
"3422","13.392831564","0.002550074","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","57344","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:57344 (Valid,Primary,Ok,Run)"
"3424","13.399608940","0.002224930","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","57344","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:57344 (Valid,Primary,Ok,Run)"
"3426","13.408832274","0.006028714","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","57856","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:57856 (Valid,Primary,Ok,Run)"
"3428","13.419631390","0.006247710","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","57856","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:57856 (Valid,Primary,Ok,Run)"
"3430","13.424832984","0.004535484","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","58368","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:58368 (Valid,Primary,Ok,Run)"
"3432","13.430636140","0.001252790","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","58368","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:58368 (Valid,Primary,Ok,Run)"
"3434","13.440833684","0.006484944","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","58880","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:58880 (Valid,Primary,Ok,Run)"
"3436","13.448187220","0.002804200","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","58880","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:58880 (Valid,Primary,Ok,Run)"
"3438","13.456834434","0.005455214","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","59392","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:59392 (Valid,Primary,Ok,Run)"
"3440","13.470769850","0.009387160","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","59392","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:59392 (Valid,Primary,Ok,Run)"
"3442","13.472835144","0.000860424","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","59904","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:59904 (Valid,Primary,Ok,Run)"
"3445","13.488835804","0.003399384","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","60416","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:60416 (Valid,Primary,Ok,Run)"
"3448","13.504836514","0.005356844","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","60928","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:60928 (Valid,Primary,Ok,Run)"
"3449","13.506786600","0.001950086","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","59904","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:59904 (Valid,Primary,Ok,Run)"
"3452","13.516807150","0.001339200","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","60416","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:60416 (Valid,Primary,Ok,Run)"
"3453","13.520837224","0.004030074","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","61440","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:61440 (Valid,Primary,Ok,Run)"
"3456","13.533355950","0.001804200","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","60928","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:60928 (Valid,Primary,Ok,Run)"
"3457","13.536837924","0.003481974","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","61952","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:61952 (Valid,Primary,Ok,Run)"
"3458","13.537849810","0.001011886","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","61440","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:61440 (Valid,Primary,Ok,Run)"
"3460","13.546900800","0.005519770","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","61952","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:61952 (Valid,Primary,Ok,Run)"
"3462","13.552838634","0.004781144","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","62464","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:62464 (Valid,Primary,Ok,Run)"
"3465","13.561911460","0.000552926","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","62464","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:62464 (Valid,Primary,Ok,Run)"
"3467","13.568839384","0.003681094","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","62976","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:62976 (Valid,Primary,Ok,Run)"
"3469","13.579456220","0.006075850","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","62976","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:62976 (Valid,Primary,Ok,Run)"
"3471","13.584840084","0.002154174","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","63488","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:63488 (Valid,Primary,Ok,Run)"
"3473","13.590459200","0.001079160","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","63488","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:63488 (Valid,Primary,Ok,Run)"
"3475","13.600840794","0.005162884","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","64000","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:64000 (Valid,Primary,Ok,Run)"
"3477","13.606491590","0.001111890","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","64000","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:64000 (Valid,Primary,Ok,Run)"
"3479","13.616841504","0.006132074","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","64512","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:64512 (Valid,Primary,Ok,Run)"
"3481","13.628032820","0.006653450","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","64512","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:64512 (Valid,Primary,Ok,Run)"
"3483","13.632842204","0.003619594","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","65024","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:65024 (Valid,Primary,Ok,Run)"
"3485","13.638116010","0.000736970","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","65024","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:65024 (Valid,Primary,Ok,Run)"
"3487","13.648842914","0.004563824","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","0","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:    0 (Valid,Primary,Ok,Run)"
"3489","13.655588930","0.002210220","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","0","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:    0 (Valid,Primary,Ok,Run)"
"3491","13.664843624","0.004557934","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","512","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:  512 (Valid,Primary,Ok,Run)"
"3493","13.670620630","0.001242250","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","512","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:  512 (Valid,Primary,Ok,Run)"
"3495","13.680844324","0.006502824","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","1024","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 1024 (Valid,Primary,Ok,Run)"
"3497","13.686574130","0.001196080","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","1024","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 1024 (Valid,Primary,Ok,Run)"
"3499","13.696845034","0.005477214","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","1536","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 1536 (Valid,Primary,Ok,Run)"
"3501","13.704716910","0.003339200","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","1536","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 1536 (Valid,Primary,Ok,Run)"
"3503","13.712845744","0.006248554","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","2048","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 2048 (Valid,Primary,Ok,Run)"
"3505","13.719220510","0.001843130","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","2048","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 2048 (Valid,Primary,Ok,Run)"
"3507","13.728846444","0.005936004","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","2560","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 2560 (Valid,Primary,Ok,Run)"
"3509","13.735733630","0.002356580","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","2560","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 2560 (Valid,Primary,Ok,Run)"
"3511","13.744847154","0.005267284","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","3072","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 3072 (Valid,Primary,Ok,Run)"
"3513","13.750283630","0.000906910","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","3072","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 3072 (Valid,Primary,Ok,Run)"
"3515","13.760847864","0.006340074","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","3584","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 3584 (Valid,Primary,Ok,Run)"
"3517","13.766814590","0.001438200","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","3584","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 3584 (Valid,Primary,Ok,Run)"
"3519","13.776848564","0.002754524","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","4096","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 4096 (Valid,Primary,Ok,Run)"
"3521","13.781858770","0.000482710","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","4096","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 4096 (Valid,Primary,Ok,Run)"
"3523","13.792849274","0.006316284","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","4608","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 4608 (Valid,Primary,Ok,Run)"
"3525","13.799383370","0.002007650","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","4608","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 4608 (Valid,Primary,Ok,Run)"
"3527","13.808849984","0.003210684","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","5120","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 5120 (Valid,Primary,Ok,Run)"
"3529","13.814413790","0.001038400","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","5120","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 5120 (Valid,Primary,Ok,Run)"
"3531","13.824850684","0.002176584","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","5632","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 5632 (Valid,Primary,Ok,Run)"
"3533","13.830439530","0.001064470","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","5632","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 5632 (Valid,Primary,Ok,Run)"
"3535","13.840851394","0.005184404","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","6144","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 6144 (Valid,Primary,Ok,Run)"
"3537","13.846479030","0.001104300","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","6144","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 6144 (Valid,Primary,Ok,Run)"
"3539","13.856852104","0.006154554","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","6656","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 6656 (Valid,Primary,Ok,Run)"
"3541","13.864011940","0.002637540","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","6656","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 6656 (Valid,Primary,Ok,Run)"
"3543","13.872852804","0.007158454","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","7168","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 7168 (Valid,Primary,Ok,Run)"
"3545","13.878033610","0.000659550","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","7168","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 7168 (Valid,Primary,Ok,Run)"
"3547","13.888853514","0.004598474","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","7680","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 7680 (Valid,Primary,Ok,Run)"
"3549","13.894073030","0.000699300","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","7680","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 7680 (Valid,Primary,Ok,Run)"
"3551","13.904854224","0.003049804","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","8192","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 8192 (Valid,Primary,Ok,Run)"
"3553","13.910609190","0.001235790","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","8192","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 8192 (Valid,Primary,Ok,Run)"
"3555","13.920854924","0.005553044","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","8704","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 8704 (Valid,Primary,Ok,Run)"
"3557","13.928154910","0.002781840","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","8704","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 8704 (Valid,Primary,Ok,Run)"
"3559","13.936855634","0.005511464","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","9216","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 9216 (Valid,Primary,Ok,Run)"
"3561","13.944707150","0.003334410","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","9216","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 9216 (Valid,Primary,Ok,Run)"
"3563","13.952856344","0.003923754","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","9728","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 9728 (Valid,Primary,Ok,Run)"
"3565","13.959205310","0.001832900","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","9728","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle: 9728 (Valid,Primary,Ok,Run)"
"3567","13.968857044","0.005955854","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","10240","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:10240 (Valid,Primary,Ok,Run)"
"3569","13.975230970","0.001858890","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","10240","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:10240 (Valid,Primary,Ok,Run)"
"3571","13.984857754","0.005292104","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","10752","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:10752 (Valid,Primary,Ok,Run)"
"3573","13.990270750","0.000899010","3","28:63:36:d6:87:75","28:63:36:d5:55:0f","10752","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:10752 (Valid,Primary,Ok,Run)"
"3575","14.000858454","0.006358874","1","28:63:36:d6:87:75","28:63:36:d5:55:0f","11264","0","PNIO","72","RTC1, ID:0x8000, Len:  40, Cycle:11264 (Valid,Primary,Ok,Run)"
